location,visitor_num,expenditure,year
GD,144000,1.242,2024
KD,301000,0.25,2024
LAS,282000,0.463,2024
KK,161000,0.227,2024
BA,46000,0.053,2024
ASM,348000,0.401,2024
GD,813000,1.16,2023
KD,291000,0.251,2023
LAS,297000,0.481,2023
KK,141000,0.181,2023
BA,48000,0.054,2023
ASM,333000,0.381,2023
GD,972000,1.631,2022
KD,210000,0.236,2022
LAS,237000,0.415,2022
KK,210000,0.236,2022
BA,77000,0.032,2022
ASM,303000,0.34,2022
GD,666000,1.015,2021
KD,257000,0.166,2021
LAS,159000,0.21,2021
KK,193000,0.162,2021
BA,57000,0.017,2021
ASM,268000,0.235,2021
GD,438000,0.38,2020
KD,221000,0.087,2020
LAS,99000,0.118,2020
KK,133000,0.12,2020
BA,60000,0.036,2020
ASM,194000,0.189,2020
